id,display_name,reputation,num_days
10676716,GMB,192246,139
9209546,jpp,141217,149
6433023,Nirav D,66938,211
14165730,mck,35717,296
3832970,Wiktor Stribiżew,526986,380
7311767,Stephen Rauch,42855,436
5233410,Nkosi,205554,626
9515207,CertainPerformance,286848,697
2422776,Mureinik,267101,700
5393381,MSeifert,126372,706
4281779,Zakaria Acharki,64454,742
8620333,Temani Afif,197968,745
9473764,Nick,118595,751
7429447,DebanjanB,131305,785
3597276,Michael Benjamin,288230,817
1491895,Barmar,636229,823
1983854,fedorqui 'SO stop harming',240850,828
2173917,Sourav Ghosh,129122,852
4909087,cs95,304263,872
2680216,Josh Crozier,211582,884
