id,display_name,last_access_date,days_since_last_access,days_since_creation
11,Anonymous User,2008-08-01T00:59:11.147Z,4899,0
449,Mufaka,2008-08-06T17:58:40.740Z,4894,1
491,Conrad Halling,2008-08-08T10:04:35.703Z,4892,2
876,Dennis,2008-08-10T22:16:18.837Z,4890,0
977,Bell,2008-08-11T14:53:40.710Z,4889,0
1028,DannySmurf,2008-08-11T16:03:38.370Z,4889,0
503,littlecharva,2008-08-13T16:29:58.160Z,4887,7
1161,Warren Taylor,2008-08-14T20:05:05.413Z,4886,1
1378,GLAF,2008-08-15T10:20:02.520Z,4885,1
973,littlebyte,2008-08-19T10:12:19.840Z,4881,8
